"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
24-11 20:21:34,1.606,0.646,97.648,0.083,0.0,0.017,16418689024.0,432148480.0,21934141440.0,11776053248.0,18769.050,13513.617,0.0,12.750,java / 0%,java / 2682863616%
24-11 20:22:34,1.588,0.646,97.667,0.081,0.0,0.018,16398368768.0,432185344.0,21939179520.0,11791298560.0,18335.983,13271.233,0.0,11.050,java / 0%,java / 2682863616%
24-11 20:23:34,2.307,0.718,96.813,0.147,0.0,0.015,16385126400.0,432234496.0,21947711488.0,11795959808.0,18694.467,13420.150,0.0,21.183,java / 0%,java / 2682863616%
24-11 20:24:34,1.703,0.650,97.502,0.127,0.0,0.019,16384921600.0,432279552.0,21954506752.0,11789324288.0,18730.617,13968.017,0.0,14.017,java / 0%,java / 2682863616%
24-11 20:25:34,1.567,0.649,97.674,0.093,0.0,0.017,16383643648.0,432320512.0,21947928576.0,11797139456.0,18775.700,13748.750,0.0,12.883,java / 0%,java / 2682912768%
24-11 20:26:34,1.608,0.634,97.662,0.079,0.0,0.018,16351899648.0,432361472.0,21941284864.0,11835486208.0,18526.333,13472.250,0.0,11.233,java / 0%,java / 2682908672%
24-11 20:27:34,1.566,0.664,97.675,0.076,0.0,0.018,16365899776.0,432406528.0,21947265024.0,11815460864.0,18629.267,13432.867,0.0,11.783,java / 0%,java / 2682908672%
24-11 20:28:34,1.598,0.710,97.571,0.102,0.0,0.019,16340578304.0,432455680.0,21953007616.0,11834990592.0,18481.750,13326.983,0.0,12.717,java / 0%,java / 2682908672%
24-11 20:29:34,1.596,0.661,97.629,0.097,0.0,0.018,16333795328.0,432492544.0,21958336512.0,11836407808.0,19132.900,14251.183,0.0,13.033,java / 0%,java / 2682908672%
24-11 20:30:34,1.601,0.654,97.639,0.086,0.0,0.020,16340824064.0,432529408.0,21964333056.0,11823345664.0,18528.817,13303.267,0.0,12.250,java / 0%,java / 2682908672%
24-11 20:31:34,1.557,0.646,97.697,0.082,0.0,0.018,16329773056.0,432570368.0,21957431296.0,11841257472.0,18704.783,13498.167,0.0,12.300,java / 0%,java / 2682908672%
24-11 20:32:34,1.603,0.664,97.601,0.114,0.0,0.018,16339984384.0,432603136.0,21964673024.0,11823771648.0,18451.767,13442.167,0.0,12.167,java / 0%,java / 2682908672%
24-11 20:33:34,2.085,0.701,97.123,0.074,0.0,0.017,16349802496.0,432640000.0,21972447232.0,11806142464.0,18839.267,13301.533,0.0,12.283,java / 0%,java / 2682908672%
24-11 20:34:34,1.651,0.651,97.583,0.095,0.0,0.020,16339333120.0,432685056.0,21956878336.0,11832135680.0,18977.167,14304.467,0.0,15.050,java / 0%,java / 2682908672%
24-11 20:35:34,1.554,0.663,97.676,0.089,0.0,0.019,16335912960.0,432709632.0,21962166272.0,11830243328.0,18978.150,13910.850,0.0,12.017,java / 0%,java / 2682908672%
