"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cmserver",,,,"User:","zhiyedan"
"Cmdline:","dstat -tcmnr --top-cpu --top-mem --output /home/zhiyedan/data/monitor/cmserver-2017-12-02.csv 60",,,,"Date:","02 Dec 2017 12:26:58 CST"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"most expensive","most expensive"
"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
02-12 12:26:58,1.051,0.327,98.554,0.059,0.000,0.009,16332828672.0,454283264.0,17834364928.0,15939555328.0,0.0,0.0,0.026,7.800,java / 0%,java / 2681409536%
02-12 12:27:58,0.560,0.232,99.165,0.040,0.0,0.003,16335335424.0,454283264.0,17830653952.0,15940759552.0,11457.283,2866.083,0.050,5.033,java / 0%,java / 2681409536%
02-12 12:28:58,0.523,0.182,99.240,0.051,0.0,0.004,16336654336.0,454283264.0,17836298240.0,15933796352.0,10361.167,2377.200,0.0,4.400,java / 0%,java / 2681454592%
02-12 12:29:58,0.524,0.193,99.222,0.057,0.0,0.003,16340901888.0,454283264.0,17829974016.0,15935873024.0,10842.783,2901.050,0.0,5.100,java / 0%,java / 2681454592%
02-12 12:30:58,0.542,0.192,99.218,0.045,0.0,0.003,16340910080.0,454283264.0,17836621824.0,15929217024.0,11457.767,2897.633,0.0,4.967,java / 0%,java / 2681409536%
02-12 12:31:58,0.569,0.196,99.184,0.049,0.0,0.003,16339320832.0,454283264.0,17829957632.0,15937470464.0,11423.283,2737.083,0.0,5.033,java / 0%,java / 2681409536%
02-12 12:32:58,1.256,0.252,98.400,0.089,0.0,0.003,16338317312.0,454283264.0,17839259648.0,15929171968.0,11440.767,2603.600,0.0,11.133,java / 0%,java / 2681409536%
02-12 12:33:58,0.524,0.187,99.245,0.040,0.0,0.003,16336740352.0,454283264.0,17845145600.0,15924862976.0,11164.933,2467.500,0.0,4.667,java / 0%,java / 2681454592%
02-12 12:34:58,0.509,0.184,99.248,0.056,0.0,0.003,16335699968.0,454283264.0,17850654720.0,15920394240.0,11138.900,2387.350,0.0,5.300,java / 0%,java / 2681454592%
02-12 12:35:58,0.560,0.206,99.184,0.049,0.0,0.002,16339460096.0,454283264.0,17843625984.0,15923662848.0,11358.167,3925.350,0.0,4.550,java / 0%,java / 2681454592%
02-12 12:36:58,0.512,0.187,99.279,0.018,0.0,0.004,16339210240.0,454283264.0,17849913344.0,15917625344.0,11503.333,2673.850,0.0,3.100,java / 0%,java / 2681454592%
02-12 12:37:58,0.559,0.239,99.169,0.031,0.0,0.003,16339906560.0,454283264.0,17843294208.0,15923548160.0,11041.400,2313.467,0.0,4.150,java / 0%,java / 2681454592%
