"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
30-11 16:11:50,1.242,0.299,98.370,0.072,0.0,0.017,17003429888.0,457936896.0,21717647360.0,11382018048.0,18857.983,12884.617,0.0,11.417,java / 0%,java / 2683162624%
30-11 16:12:50,1.238,0.280,98.369,0.094,0.0,0.019,16989847552.0,457928704.0,21711695872.0,11401560064.0,19182.917,13274.083,0.0,13.100,java / 0%,java / 2683162624%
30-11 16:13:50,1.238,0.280,98.369,0.094,0.0,0.019,16989847552.0,457928704.0,21711695872.0,11401560064.0,19182.917,13274.083,0.0,13.100,java / 0%,java / 2683162624%
30-11 16:14:50,1.238,0.280,98.369,0.094,0.0,0.019,16989847552.0,457928704.0,21711695872.0,11401560064.0,19182.917,13274.083,0.0,13.100,java / 0%,java / 2683162624%
30-11 16:15:50,1.238,0.280,98.369,0.094,0.0,0.019,16989847552.0,457928704.0,21711695872.0,11401560064.0,19182.917,13274.083,0.0,13.100,java / 0%,java / 2683162624%
30-11 16:16:50,1.247,0.295,98.359,0.081,0.0,0.018,17002647552.0,457936896.0,21722841088.0,11377606656.0,18840.067,12666.783,0.0,11.950,java / 0%,java / 2683162624%
30-11 16:17:50,1.266,0.338,98.283,0.095,0.0,0.017,17007509504.0,457936896.0,21728563200.0,11367022592.0,18893.450,12663.600,0.0,10.750,java / 0%,java / 2683162624%
30-11 16:18:50,1.273,0.293,98.342,0.072,0.0,0.020,17011200000.0,457936896.0,21722054656.0,11369840640.0,19023.300,12871.450,0.0,11.167,java / 0%,java / 2683162624%
30-11 16:19:50,1.227,0.279,98.369,0.108,0.0,0.017,17011212288.0,457936896.0,21715619840.0,11376263168.0,18855.350,12657.967,0.0,13.367,java / 0%,java / 2683146240%
30-11 16:20:50,1.239,0.282,98.350,0.109,0.0,0.020,17000009728.0,457936896.0,21722243072.0,11380842496.0,19028.867,12945.633,0.0,12.167,java / 0%,java / 2683146240%
30-11 16:21:50,1.212,0.280,98.408,0.079,0.0,0.020,17002827776.0,457936896.0,21728231424.0,11372036096.0,18714.967,12616.917,0.0,10.567,java / 0%,java / 2683154432%
30-11 16:22:50,1.696,0.339,97.882,0.065,0.0,0.019,17006555136.0,457936896.0,21742862336.0,11353677824.0,18825.917,12692.917,0.0,11.250,java / 0%,java / 2683150336%
30-11 16:23:50,1.232,0.275,98.389,0.085,0.0,0.018,17010917376.0,457936896.0,21748719616.0,11343458304.0,18359.033,12322.867,0.0,11.700,java / 0%,java / 2683154432%
