"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
30-11 10:14:47,0.313,0.107,99.563,0.015,0.000,0.001,8758837248.0,157638656.0,500936704.0,7255764992.0,0.0,0.0,1.062,1.994,agent.py / 0%,java / 7058927616%
30-11 10:15:47,0.163,0.077,99.742,0.017,0.0,0.001,8758439936.0,157659136.0,501014528.0,7256064000.0,12382.150,12426.683,0.033,1.850,agent.py / 0%,java / 7058927616%
30-11 10:16:47,0.166,0.079,99.740,0.014,0.0,0.001,8759992320.0,157691904.0,501014528.0,7254478848.0,11851.483,11990.650,0.0,1.650,agent.py / 0%,java / 7058931712%
30-11 10:17:47,0.159,0.082,99.738,0.019,0.0,0.001,8759476224.0,157708288.0,501084160.0,7254908928.0,12194.267,12469.417,0.033,1.467,agent.py / 0%,java / 7058931712%
30-11 10:18:47,0.177,0.114,99.689,0.019,0.0,0.001,8761524224.0,157749248.0,501129216.0,7252774912.0,12426.233,13426.417,0.033,1.733,agent.py / 0%,java / 7058931712%
30-11 10:19:47,0.163,0.097,99.718,0.020,0.0,0.001,8758169600.0,157782016.0,501166080.0,7256059904.0,11902.750,12047.783,0.0,2.183,agent.py / 0%,java / 7058927616%
30-11 10:20:47,0.168,0.089,99.723,0.019,0.0,0.001,8759566336.0,157831168.0,501145600.0,7254634496.0,12160.633,12263.167,0.0,1.950,agent.py / 0%,java / 7058927616%
30-11 10:21:47,0.163,0.079,99.744,0.013,0.0,0.001,8759361536.0,157847552.0,501207040.0,7254761472.0,12368.767,12498.983,0.0,1.550,agent.py / 0%,java / 7058927616%
30-11 10:22:47,0.165,0.076,99.739,0.018,0.0,0.001,8758652928.0,157868032.0,501112832.0,7255543808.0,11768.083,11941.0,0.0,1.883,agent.py / 0%,java / 7058931712%
30-11 10:23:47,0.164,0.118,99.699,0.018,0.0,0.001,8758689792.0,157900800.0,501145600.0,7255441408.0,12380.650,12422.633,0.0,2.283,agent.py / 0%,java / 7058931712%
30-11 10:24:47,0.170,0.087,99.722,0.019,0.0,0.002,8760758272.0,157921280.0,501149696.0,7253348352.0,11838.783,12007.833,0.0,1.433,agent.py / 0%,java / 7058927616%
30-11 10:25:47,0.160,0.074,99.748,0.017,0.0,0.001,8759271424.0,157941760.0,501116928.0,7254847488.0,11766.283,11950.117,0.0,1.817,agent.py / 0%,java / 7058927616%
30-11 10:26:47,0.172,0.081,99.732,0.015,0.0,0.001,8760475648.0,157966336.0,501125120.0,7253610496.0,12248.867,12344.900,0.0,1.467,agent.py / 0%,java / 7058931712%
30-11 10:27:47,0.156,0.076,99.751,0.016,0.0,0.001,8759951360.0,157990912.0,501161984.0,7254073344.0,11856.100,11996.583,0.0,1.867,agent.py / 0%,java / 7058923520%
30-11 10:28:47,0.173,0.076,99.737,0.013,0.0,0.001,8760803328.0,158027776.0,501129216.0,7253217280.0,12158.883,12277.467,0.0,1.433,agent.py / 0%,java / 7058927616%
30-11 10:29:47,0.168,0.081,99.736,0.014,0.0,0.001,8760934400.0,158064640.0,501129216.0,7253049344.0,11828.900,11992.383,0.0,1.750,agent.py / 0%,java / 7058927616%
30-11 10:30:47,0.175,0.088,99.722,0.013,0.0,0.001,8761303040.0,158085120.0,501170176.0,7252619264.0,12248.933,12328.500,0.0,1.750,agent.py / 0%,java / 7058927616%
30-11 10:31:47,0.159,0.076,99.749,0.013,0.0,0.002,8760434688.0,158121984.0,501170176.0,7253450752.0,11717.667,11895.083,0.0,1.633,agent.py / 0%,java / 7058931712%
30-11 10:32:47,0.168,0.078,99.741,0.013,0.0,0.001,8761184256.0,158150656.0,501137408.0,7252705280.0,11858.650,12021.233,0.0,1.533,agent.py / 0%,java / 7058927616%
30-11 10:33:47,0.159,0.073,99.756,0.011,0.0,0.001,8760233984.0,158191616.0,501170176.0,7253581824.0,11790.250,11954.550,0.0,1.717,agent.py / 0%,java / 7058927616%
30-11 10:34:47,0.176,0.076,99.733,0.013,0.0,0.001,8761212928.0,158216192.0,501174272.0,7252574208.0,12200.567,12288.500,0.0,1.583,agent.py / 0%,java / 7058927616%
30-11 10:35:47,0.161,0.073,99.753,0.012,0.0,0.001,8759726080.0,158257152.0,501174272.0,7254020096.0,12313.950,12326.850,0.017,1.517,agent.py / 0%,java / 7058927616%
