"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
30-11 09:48:39,0.127,0.050,99.811,0.012,0.0,0.001,1890541568.0,218750976.0,3613769728.0,10950115328.0,2964.883,7131.500,0.0,1.867,java / 0%,java / 713977856%
30-11 09:49:39,0.135,0.054,99.798,0.014,0.0,0.0,1889333248.0,218750976.0,3613782016.0,10951311360.0,2834.767,7154.650,0.0,1.700,java / 0%,java / 713973760%
30-11 09:50:40,0.122,0.058,99.807,0.013,0.0,0.0,1889079296.0,218750976.0,3613814784.0,10951532544.0,3220.300,7310.800,0.0,2.267,java / 0%,java / 713977856%
30-11 09:51:39,0.134,0.057,99.795,0.014,0.0,0.0,1889284096.0,218750976.0,3613827072.0,10951315456.0,2816.333,7120.067,0.0,1.850,java / 0%,java / 713977856%
30-11 09:52:39,0.122,0.049,99.814,0.013,0.0,0.001,1889292288.0,218750976.0,3613843456.0,10951290880.0,2837.050,7157.800,0.0,1.667,java / 0%,java / 713977856%
30-11 09:53:40,0.131,0.054,99.796,0.019,0.0,0.0,1889783808.0,218750976.0,3613855744.0,10950787072.0,2811.767,7114.900,0.0,1.717,java / 0%,java / 713977856%
30-11 09:54:40,0.123,0.048,99.819,0.010,0.0,0.0,1889648640.0,218750976.0,3613868032.0,10950909952.0,2812.650,7116.017,0.0,1.500,java / 0%,java / 713977856%
30-11 09:55:40,0.133,0.056,99.798,0.012,0.0,0.001,1889792000.0,218750976.0,3613896704.0,10950737920.0,3202.700,7308.400,0.0,2.117,java / 0%,java / 713977856%
30-11 09:56:40,0.124,0.051,99.812,0.013,0.0,0.0,1889140736.0,218750976.0,3613913088.0,10951372800.0,2785.917,7107.817,0.0,1.600,java / 0%,java / 713977856%
30-11 09:57:39,0.133,0.058,99.795,0.013,0.0,0.001,1890361344.0,218750976.0,3613925376.0,10950139904.0,2846.467,7166.583,0.0,1.783,java / 0%,java / 713977856%
30-11 09:58:39,0.121,0.054,99.811,0.015,0.0,0.0,1889095680.0,218750976.0,3613937664.0,10951393280.0,2807.267,7110.400,0.0,1.700,java / 0%,java / 713973760%
30-11 09:59:40,0.131,0.058,99.796,0.015,0.0,0.0,1888731136.0,218750976.0,3613945856.0,10951749632.0,2835.933,7161.183,0.0,1.617,java / 0%,java / 713977856%
30-11 10:00:40,0.122,0.056,99.804,0.017,0.0,0.001,1889341440.0,218750976.0,3613995008.0,10951090176.0,3185.550,6466.367,0.0,2.183,java / 0%,java / 713977856%
30-11 10:01:40,0.138,0.066,99.785,0.010,0.0,0.0,1889226752.0,218750976.0,3614011392.0,10951188480.0,2941.983,6773.150,0.0,1.700,java / 0%,java / 713977856%
30-11 10:02:40,0.124,0.051,99.807,0.017,0.0,0.001,1888833536.0,218750976.0,3614023680.0,10951569408.0,2813.383,7119.433,0.0,1.817,java / 0%,java / 713977856%
30-11 10:03:40,0.130,0.056,99.800,0.013,0.0,0.001,1888669696.0,218750976.0,3614040064.0,10951716864.0,2821.983,7124.567,0.0,1.633,java / 0%,java / 713973760%
